"a0","lc_a0","deriv_lc","second_deriv_lc"
0,0.00235116314963631,-100594.027116966,300976184.339624
0.05,-70.566780727727,-33.8284012689549,855.552755105794
0.1,-71.6632738929366,-15.3336484511383,155.473929628329
0.15,-72.2811100139766,-10.3820580968316,54.9404959023159
0.2,-72.7464270566283,-8.42864527592272,33.1060893055172
0.25,-73.1311642514256,-7.02610348033674,20.0661354644852
0.3,-73.4636237648901,-6.31683618006284,16.0977702764224
0.35,-73.7564644097858,-5.54956731427695,11.8040360304417
0.4,-74.0237309219098,-5.09255426858384,9.93674920557615
0.45,-74.2617081929373,-4.45854578834404,9.82929969764851
0.5,-74.4733790518245,-4.13040391359635,8.47058172959837
0.55,-74.6685693346695,-3.62681591486103,7.55096496544916
0.6,-74.8411313688651,-3.31601651206087,7.15272817192253
0.65,-74.9990957699632,-2.97429399781199,7.08389028562525
0.7,-75.1362757411438,-2.51038172286292,6.31095675580294
0.75,-75.2579789225113,-2.27165658818899,6.72726833241467
0.8,-75.3666227337533,-1.94235069617546,5.93125839382926
0.85,-75.4505568634781,-1.63336686690783,6.09972396463118
0.9,-75.5322429540308,-1.40892227900416,5.82657782383289
0.95,-75.5921195653537,-1.10540497126364,5.74294847365654
1,-75.6363335205385,-0.831570964552736,5.57529213990256
