"a0","lc_a0","deriv_lc","second_deriv_lc"
0,0.00312491217376456,-100408.211905787,295517186.799065
0.05,-70.5657981878611,-35.0765211542779,981.62235956065
0.1,-71.6664065167354,-14.8472427842422,138.668630218133
0.15,-72.2862996035568,-10.1210671199865,53.1576317075403
0.2,-72.7481988758129,-8.52912279274781,31.7863792230544
0.25,-73.1348806736879,-7.12459159112629,19.7617719693187
0.3,-73.4677548085421,-6.21370705465366,14.9927877042897
0.35,-73.757861177477,-5.56442254016008,12.2283766568525
0.4,-74.0223770301369,-4.86802748297866,9.50959159087003
0.45,-74.2633644867496,-4.58391913349302,9.81116020661009
0.5,-74.4738481297444,-4.11543155481452,8.33035817001955
0.55,-74.6670191924517,-3.56704330441333,7.71831512674948
0.6,-74.839822185889,-3.34871812297125,7.29174879011831
0.65,-74.9948029392523,-2.9215732006753,7.08305225243587
0.7,-75.138910187486,-2.74005817146849,7.02361557145947
0.75,-75.256876777732,-2.25879168316462,6.3694959246199
0.8,-75.3643794883001,-1.98263583466587,6.70455909210188
0.85,-75.451944698105,-1.71379256262084,6.00043718390755
0.9,-75.5317913139364,-1.30961049791635,5.63699486229011
0.95,-75.5918419635349,-1.125607634285,5.51881894804722
1,-75.6354545606259,-0.789394464134913,5.51498272493173
