x,f,mean,lower,upper
0.00010001,-4.457462,-11.503509,-15.357724,-7.649293
0.00020002,-5.454774,-11.504636,-15.358625,-7.650646
0.00030003,-6.048671,-11.505761,-15.359525,-7.6519976
0.00040004,-6.4730964,-11.506885,-15.360422,-7.653347
0.00050005,-6.8036203,-11.508004,-15.361317,-7.6546917
0.00060006,-7.0743675,-11.509122,-15.362209,-7.656034
0.00070007,-7.30369,-11.51024,-15.363103,-7.6573763
0.00080008,-7.5026007,-11.5113535,-15.363992,-7.6587152
0.00090009003,-7.6782312,-11.512464,-15.364878,-7.6600494
0.0010001,-7.8354645,-11.51357,-15.36576,-7.66138
0.00110011,-7.9777927,-11.514678,-15.366645,-7.662711
0.00120012,-8.107798,-11.515782,-15.367525,-7.6640396
0.00130013,-8.227444,-11.516885,-15.368404,-7.665365
0.00140014,-8.33826,-11.517983,-15.36928,-7.666687
0.0015001501,-8.441459,-11.51908,-15.370153,-7.668007
0.00160016,-8.538019,-11.520175,-15.371026,-7.669324
0.00170017,-8.628743,-11.521266,-15.371895,-7.670637
0.0018001801,-8.714294,-11.522359,-15.372766,-7.6719522
0.00190019,-8.795231,-11.523446,-15.373631,-7.6732616
0.0020002,-8.872023,-11.524531,-15.374495,-7.6745687
0.00210021,-8.945072,-11.525613,-15.375355,-7.675871
0.00220022,-9.014727,-11.526696,-15.376217,-7.677176
0.00230023,-9.081286,-11.527774,-15.377073,-7.678475
0.00240024,-9.145013,-11.528848,-15.377926,-7.6797695
0.00250025,-9.206136,-11.529923,-15.378781,-7.6810656
0.00260026,-9.26486,-11.530993,-15.379631,-7.6823554
0.00270027,-9.321363,-11.5320635,-15.380482,-7.6836457
0.00280028,-9.375809,-11.533132,-15.38133,-7.6849337
0.00290029,-9.428338,-11.534196,-15.382175,-7.686217
0.0030003001,-9.47908,-11.535256,-15.383017,-7.6874967
0.00310031,-9.528152,-11.536317,-15.383858,-7.6887765
0.00320032,-9.575661,-11.537375,-15.384697,-7.6900535
0.0033003301,-9.621698,-11.538432,-15.385535,-7.691329
0.00340034,-9.666354,-11.539483,-15.386368,-7.6925983
0.00350035,-9.709708,-11.540532,-15.387199,-7.693865
0.0036003601,-9.751831,-11.541581,-15.388031,-7.6951313
0.00370037,-9.792792,-11.542626,-15.388859,-7.6963944
0.00380038,-9.832651,-11.543672,-15.389687,-7.697657
0.0039003901,-9.871465,-11.544711,-15.390509,-7.6989136
0.0040004,-9.9092865,-11.545751,-15.391331,-7.70017
0.0041004103,-9.946164,-11.546788,-15.392153,-7.7014236
0.00420042,-9.982142,-11.547822,-15.39297,-7.702674
0.00430043,-10.017264,-11.548856,-15.393787,-7.703924
0.00440044,-10.051568,-11.549882,-15.394598,-7.705166
0.00450045,-10.08509,-11.550912,-15.395412,-7.706412
0.00460046,-10.117864,-11.551934,-15.396219,-7.7076497
0.0047004703,-10.149921,-11.5529585,-15.397028,-7.708889
0.00480048,-10.1812935,-11.553977,-15.397832,-7.710122
0.00490049,-10.2120075,-11.554994,-15.398634,-7.7113533
0.0050005,-10.242089,-11.556008,-15.399435,-7.7125816
0.00510051,-10.271564,-11.557023,-15.400235,-7.713811
0.00520052,-10.300453,-11.558034,-15.4010315,-7.715036
0.00530053,-10.328781,-11.559043,-15.401827,-7.7162585
0.00540054,-10.356568,-11.56005,-15.402621,-7.7174788
0.00550055,-10.383833,-11.561053,-15.403411,-7.7186956
0.00560056,-10.410594,-11.562055,-15.4042,-7.7199097
0.00570057,-10.43687,-11.563054,-15.404986,-7.721122
0.00580058,-10.462675,-11.56405,-15.405769,-7.72233
0.00590059,-10.488029,-11.565043,-15.406551,-7.7235355
0.0060006003,-10.512942,-11.566033,-15.40733,-7.724737
0.00610061,-10.537432,-11.567025,-15.40811,-7.725941
0.00620062,-10.561511,-11.568013,-15.408886,-7.727141
0.00630063,-10.585193,-11.568997,-15.409658,-7.7283363
0.00640064,-10.608488,-11.569982,-15.410432,-7.7295313
0.00650065,-10.63141,-11.57096,-15.4112,-7.7307205
0.0066006603,-10.653969,-11.5719385,-15.411968,-7.7319093
0.00670067,-10.676176,-11.572913,-15.412732,-7.733094
0.00680068,-10.698042,-11.573886,-15.413495,-7.734277
0.00690069,-10.719575,-11.574859,-15.414257,-7.73546
0.0070007,-10.740786,-11.575826,-15.415015,-7.736636
0.00710071,-10.761682,-11.576791,-15.4157715,-7.73781
0.0072007203,-10.782273,-11.577756,-15.416528,-7.738984
0.00730073,-10.802568,-11.578717,-15.41728,-7.7401543
0.00740074,-10.822574,-11.579675,-15.41803,-7.7413197
0.00750075,-10.842298,-11.580632,-15.418778,-7.742486
0.00760076,-10.861747,-11.581588,-15.419525,-7.74365
0.00770077,-10.880929,-11.58254,-15.420269,-7.7448096
0.0078007802,-10.899851,-11.5834875,-15.42101,-7.745965
0.00790079,-10.918519,-11.584435,-15.421751,-7.7471204
0.0080008,-10.936938,-11.58538,-15.422487,-7.7482715
0.00810081,-10.955116,-11.586322,-15.4232235,-7.74942
0.008200821,-10.973058,-11.587262,-15.423957,-7.7505674
0.00830083,-10.990768,-11.588201,-15.424689,-7.751712
0.00840084,-11.008254,-11.589137,-15.425419,-7.7528553
0.00850085,-11.025519,-11.59007,-15.426146,-7.7539935
0.00860086,-11.04257,-11.591001,-15.426871,-7.75513
0.00870087,-11.05941,-11.591928,-15.427593,-7.756262
0.00880088,-11.076044,-11.5928545,-15.428315,-7.757394
0.00890089,-11.092478,-11.593778,-15.429033,-7.758522
0.0090009,-11.108714,-11.594701,-15.429751,-7.75965
