x,f,f_prime,mean,mean_prime,lower,lower_prime,upper,upper_prime
0.00020002,-5.454774,-5938.4785,-5.4775996,-223.15439,-12.5118885,-237.57202,1.5566893,-208.73676
0.00030003,-6.048671,-4243.886,-5.4997764,-222.53886,-12.534081,-236.78554,1.5345287,-208.29219
0.00040004,-6.4730964,-3304.9407,-5.522735,-221.91393,-12.557065,-236.00697,1.5115948,-207.82088
0.00050005,-6.8036203,-2707.226,-5.544662,-221.30429,-12.579014,-235.21555,1.4896903,-207.39304
0.00060006,-7.0743675,-2293.0112,-5.566894,-220.68349,-12.601266,-234.43063,1.4674778,-206.93634
0.00070007,-7.30369,-1988.9208,-5.588817,-220.05383,-12.623212,-233.63788,1.4455776,-206.46979
0.00080008,-7.5026007,-1756.1384,-5.610887,-219.4247,-12.64531,-232.85143,1.4235363,-205.99797
0.00090009003,-7.6782312,-1572.187,-5.632961,-218.79501,-12.6674,-232.05951,1.4014783,-205.53052
0.0010001,-7.8354645,-1423.1445,-5.654655,-218.1526,-12.689125,-231.2615,1.3798146,-205.0437
0.00110011,-7.9777927,-1299.925,-5.6764083,-217.51184,-12.710905,-230.46419,1.358088,-204.5595
0.00120012,-8.107798,-1196.3455,-5.698171,-216.86728,-12.732681,-229.66116,1.336339,-204.0734
0.00130013,-8.227444,-1108.0518,-5.719978,-216.2233,-12.754509,-228.86313,1.3145537,-203.58347
0.00140014,-8.33826,-1031.8889,-5.7414203,-215.56802,-12.775988,-228.06067,1.2931471,-203.07538
0.0015001501,-8.441459,-965.5143,-5.763046,-214.91586,-12.797632,-227.25629,1.2715411,-202.57544
0.00160016,-8.538019,-907.1524,-5.7843585,-214.2537,-12.818968,-226.44243,1.2502508,-202.06496
0.00170017,-8.628743,-855.4328,-5.805866,-213.59424,-12.84049,-225.63266,1.2287588,-201.55582
0.0018001801,-8.714294,-809.2807,-5.827108,-212.92996,-12.861764,-224.82356,1.2075481,-201.03636
0.00190019,-8.795231,-767.8414,-5.848596,-212.26599,-12.883261,-224.00903,1.186069,-200.52295
0.0020002,-8.872023,-730.4267,-5.869552,-211.59064,-12.904246,-223.19057,1.165142,-199.9907
0.00210021,-8.945072,-696.47614,-5.89072,-210.91718,-12.925427,-222.37015,1.1439877,-199.4642
0.00220022,-9.014727,-665.5289,-5.9113,-210.24464,-12.946024,-221.55597,1.1234236,-198.93332
0.00230023,-9.081286,-637.2022,-5.9321246,-209.56067,-12.966873,-220.73178,1.1026244,-198.38956
0.00240024,-9.145013,-611.17596,-5.953716,-208.88313,-12.98847,-219.90007,1.081039,-197.8662
0.00250025,-9.206136,-587.1799,-5.9744277,-208.19386,-13.009203,-219.07172,1.060348,-197.31601
0.00260026,-9.26486,-564.9847,-5.99534,-207.50888,-13.030142,-218.25496,1.0394621,-196.7628
0.00270027,-9.321363,-544.3942,-6.0159373,-206.81638,-13.050758,-217.42435,1.0188832,-196.2084
0.00280028,-9.375809,-525.2399,-6.0367274,-206.12605,-13.07156,-216.59642,0.9981055,-195.65569
0.00290029,-9.428338,-507.37604,-6.057262,-205.43045,-13.092119,-215.76965,0.9775958,-195.09125
0.0030003001,-9.47908,-490.67578,-6.0777736,-204.72931,-13.112656,-214.94136,0.957108,-194.51726
0.00310031,-9.528152,-475.02856,-6.098106,-204.02698,-13.133,-214.10353,0.93678856,-193.95042
0.00320032,-9.575661,-460.33737,-6.118591,-203.32506,-13.153503,-213.27403,0.91632175,-193.37608
0.0033003301,-9.621698,-446.51672,-6.1390414,-202.6225,-13.173971,-212.44438,0.89588785,-192.80061
0.00340034,-9.666354,-433.4911,-6.159101,-201.90904,-13.194051,-211.6054,0.87584877,-192.21269
0.00350035,-9.709708,-421.19336,-6.179418,-201.20227,-13.214382,-210.77283,0.855546,-191.63171
0.0036003601,-9.751831,-409.5638,-6.199352,-200.48466,-13.234333,-209.93068,0.835629,-191.03865
0.00370037,-9.792792,-398.54913,-6.21948,-199.77106,-13.254483,-209.10098,0.81552315,-190.44113
0.00380038,-9.832651,-388.10144,-6.23928,-199.04913,-13.274298,-208.25578,0.79573774,-189.84248
0.0039003901,-9.871465,-378.1778,-6.2592387,-198.3286,-13.294275,-207.42116,0.7757983,-189.23604
0.0040004,-9.9092865,-368.7394,-6.2789683,-197.60565,-13.314018,-206.57526,0.7560811,-188.63605
0.0041004103,-9.946164,-359.7513,-6.2988124,-196.88379,-13.3338785,-205.74043,0.73625374,-188.02715
0.00420042,-9.982142,-351.18173,-6.3187175,-196.1597,-13.353794,-204.90355,0.71635866,-187.41585
0.00430043,-10.017264,-343.00186,-6.337917,-195.4208,-13.373016,-204.05371,0.6971822,-186.7879
0.00440044,-10.051568,-335.1855,-6.3574862,-194.69409,-13.392582,-203.19798,0.67760944,-186.1902
0.00450045,-10.08509,-327.7087,-6.37676,-193.95618,-13.411873,-202.34962,0.65835285,-185.56273
0.00460046,-10.117864,-320.54962,-6.396278,-193.22514,-13.4314,-201.50856,0.638844,-184.94173
0.0047004703,-10.149921,-313.68823,-6.41542,-192.48409,-13.450556,-200.65826,0.6197157,-184.3099
0.00480048,-10.1812935,-307.10614,-6.4347606,-191.74777,-13.469914,-199.82242,0.6003933,-183.67313
0.00490049,-10.2120075,-300.78644,-6.45375,-191.00308,-13.4889145,-198.96997,0.5814142,-183.0362
0.0050005,-10.242089,-294.7136,-6.4729457,-190.26352,-13.508125,-198.13211,0.5622344,-182.39493
0.00510051,-10.271564,-288.87326,-6.4917808,-189.51416,-13.526979,-197.28584,0.5434184,-181.74248
0.00520052,-10.300453,-283.25217,-6.5108333,-188.7712,-13.546045,-196.44609,0.5243783,-181.0963
0.00530053,-10.328781,-277.83804,-6.529548,-188.02022,-13.564766,-195.5896,0.5056691,-180.45084
0.00540054,-10.356568,-272.61954,-6.5484805,-187.27467,-13.583706,-194.7485,0.48674536,-179.80084
0.00550055,-10.383833,-267.58606,-6.567291,-186.52565,-13.602537,-193.91512,0.4679551,-179.13618
0.00560056,-10.410594,-262.72787,-6.5857387,-185.76834,-13.620996,-193.06418,0.44951963,-178.4725
0.00570057,-10.43687,-258.0358,-6.6044517,-185.01851,-13.639715,-192.22064,0.43081188,-177.81638
0.00580058,-10.462675,-253.50133,-6.622768,-184.2586,-13.658041,-191.36836,0.41250563,-177.14885
0.00590059,-10.488029,-249.11658,-6.6413093,-183.50465,-13.676596,-190.53268,0.39397764,-176.47662
0.0060006003,-10.512942,-244.87413,-6.6594234,-182.74083,-13.694729,-189.6883,0.37588215,-175.79337
0.00610061,-10.537432,-240.76704,-6.6778617,-181.98547,-13.713167,-188.84146,0.35744333,-175.12949
0.00620062,-10.561511,-236.78885,-6.69585,-181.2196,-13.731171,-187.99615,0.3394704,-174.44305
0.00630063,-10.585193,-232.93349,-6.7140727,-180.46025,-13.749401,-187.1581,0.32125568,-173.7624
0.00640064,-10.608488,-229.19522,-6.7320094,-179.69485,-13.767328,-186.29155,0.30330896,-173.09816
0.00650065,-10.63141,-225.56874,-6.7497745,-178.92593,-13.785105,-185.44452,0.28555536,-172.40735
0.0066006603,-10.653969,-222.049,-6.7677894,-178.16397,-13.803128,-184.60608,0.2675495,-171.72186
0.00670067,-10.676176,-218.63126,-6.785377,-177.39056,-13.82073,-183.76677,0.24997663,-171.01436
0.00680068,-10.698042,-215.31108,-6.803268,-176.62686,-13.838623,-182.92656,0.23208714,-170.32716
0.00690069,-10.719575,-212.08426,-6.820745,-175.854,-13.856106,-182.07791,0.21461582,-169.6301
0.0070007,-10.740786,-208.94684,-6.8384433,-175.08615,-13.873814,-181.2469,0.19692707,-168.9254
0.00710071,-10.761682,-205.89508,-6.8557277,-174.31018,-13.891113,-180.40848,0.17965746,-168.21188
0.0072007203,-10.782273,-202.92545,-6.873283,-173.54153,-13.908674,-179.5777,0.1621089,-167.50537
