x,f,mean,lower,upper
0.0,0.0,-0.1609788,-0.66946346,0.34750587
0.00010001,-0.006558076,-0.16489363,-0.67314756,0.3433603
0.00020002,-0.013105482,-0.1688199,-0.67684114,0.33920133
0.00030003,-0.019642254,-0.17273283,-0.6805099,0.33504426
0.00040004,-0.026168434,-0.1766591,-0.68420887,0.33089066
0.00050005,-0.032684054,-0.18056822,-0.68789434,0.3267579
0.00060006,-0.039189156,-0.18448782,-0.6915771,0.32260144
0.00070007,-0.045683775,-0.18841982,-0.69529086,0.31845123
0.00080008,-0.05216795,-0.19233465,-0.69897985,0.31431055
0.00090009003,-0.05864171,-0.19625044,-0.70265275,0.31015188
0.0010001,-0.0651051,-0.20016336,-0.7063566,0.30602986
0.00110011,-0.071558155,-0.20408869,-0.7100521,0.3018747
0.00120012,-0.0780009,-0.20800638,-0.71374536,0.2977326
0.00130013,-0.084433384,-0.21193552,-0.71746325,0.2935922
0.00140014,-0.09085564,-0.21584463,-0.7211459,0.28945667
0.0015001501,-0.097267695,-0.21975851,-0.724839,0.28532195
0.00160016,-0.10366959,-0.22367907,-0.7285423,0.2811842
0.00170017,-0.11006136,-0.22759771,-0.73223805,0.27704263
0.0018001801,-0.116443045,-0.23152494,-0.73596114,0.27291125
0.00190019,-0.12281467,-0.23543596,-0.73965657,0.26878464
0.0020002,-0.12917626,-0.2393632,-0.74336624,0.26463985
0.00210021,-0.13552788,-0.24327993,-0.7470899,0.26053005
0.00220022,-0.14186953,-0.24719286,-0.75079274,0.25640702
0.00230023,-0.14820126,-0.25111532,-0.7545049,0.25227427
0.00240024,-0.1545231,-0.25502253,-0.7581961,0.24815106
0.00250025,-0.16083509,-0.258945,-0.76191384,0.24402386
0.00260026,-0.16713724,-0.2628646,-0.7656362,0.23990703
0.00270027,-0.17342961,-0.26678896,-0.76935947,0.23578155
0.00280028,-0.17971222,-0.2707076,-0.77306175,0.23164654
0.00290029,-0.1859851,-0.27462244,-0.7767791,0.22753423
0.0030003001,-0.1922483,-0.27853346,-0.780485,0.22341806
0.00310031,-0.19850183,-0.28245497,-0.78421265,0.21930271
0.00320032,-0.20474571,-0.2863717,-0.7879298,0.21518636
0.0033003301,-0.21098001,-0.29029417,-0.79165256,0.21106422
0.00340034,-0.21720473,-0.29420328,-0.79537904,0.20697248
0.00350035,-0.22341992,-0.29812765,-0.79909974,0.20284444
0.0036003601,-0.2296256,-0.30204248,-0.80282605,0.19874108
0.00370037,-0.2358218,-0.30596685,-0.8065638,0.19463009
0.00380038,-0.24200855,-0.30988264,-0.8102776,0.1905123
0.0039003901,-0.2481859,-0.3138051,-0.8140228,0.18641257
0.0040004,-0.25435385,-0.31770563,-0.8177212,0.18230993
0.0041004103,-0.26051244,-0.32163382,-0.82145864,0.178191
0.00420042,-0.26666173,-0.3255477,-0.8251874,0.174092
0.00430043,-0.2728017,-0.3294587,-0.82892466,0.17000726
