x,f,f_prime,mean,mean_prime,lower,lower_prime,upper,upper_prime
0.00010001,-0.006558076,-65.52079,0.28569233,-60.139404,-0.22121722,-62.72796,0.7926019,-57.55085
0.00020002,-0.013105482,-65.41429,0.27971566,-60.114082,-0.22723901,-62.691315,0.7866703,-57.53685
0.00030003,-0.019642254,-65.30817,0.27367795,-60.089504,-0.23329931,-62.654274,0.7806552,-57.524734
0.00040004,-0.026168434,-65.202415,0.2676736,-60.06422,-0.23933,-62.617733,0.7746772,-57.510708
0.00050005,-0.032684054,-65.097046,0.2616645,-60.039124,-0.24535978,-62.58049,0.7686888,-57.497757
0.00060006,-0.039189156,-64.99204,0.2556802,-60.01362,-0.2513516,-62.54367,0.762712,-57.483566
0.00070007,-0.045683775,-64.887405,0.24965394,-59.988495,-0.2574343,-62.507812,0.7567422,-57.469177
0.00080008,-0.05216795,-64.783134,0.24364388,-59.963104,-0.26345003,-62.4704,0.7507378,-57.455807
0.00090009003,-0.05864171,-64.67923,0.23767006,-59.937283,-0.26944637,-62.433823,0.7447865,-57.440742
0.0010001,-0.0651051,-64.57569,0.23166573,-59.91185,-0.27544135,-62.396404,0.7387728,-57.427296
0.00110011,-0.071558155,-64.4725,0.22568047,-59.886112,-0.28149807,-62.360207,0.732859,-57.412018
0.00120012,-0.0780009,-64.369675,0.21969998,-59.860077,-0.2874804,-62.32364,0.7268804,-57.396515
0.00130013,-0.084433384,-64.267204,0.21370137,-59.834415,-0.2934903,-62.286503,0.720893,-57.382328
0.00140014,-0.09085564,-64.165085,0.20775616,-59.80799,-0.2994656,-62.24978,0.7149779,-57.366203
0.0015001501,-0.097267695,-64.06331,0.20173657,-59.782314,-0.3054852,-62.212452,0.7089583,-57.352177
0.00160016,-0.10366959,-63.961887,0.19576561,-59.75608,-0.31150502,-62.176426,0.70303625,-57.335735
0.00170017,-0.11006136,-63.86081,0.18984139,-59.729424,-0.3174556,-62.139812,0.69713837,-57.319035
0.0018001801,-0.116443045,-63.760075,0.18378842,-59.703514,-0.32351416,-62.10294,0.691091,-57.30409
0.00190019,-0.12281467,-63.65968,0.17785943,-59.67696,-0.3294469,-62.06619,0.68516576,-57.28773
0.0020002,-0.12917626,-63.559624,0.17186177,-59.65058,-0.3354897,-62.029236,0.6792132,-57.271927
0.00210021,-0.13552788,-63.459908,0.16590703,-59.6238,-0.3414576,-61.992733,0.67327166,-57.254864
0.00220022,-0.14186953,-63.360523,0.15998185,-59.59691,-0.34741098,-61.95619,0.6673747,-57.23763
0.00230023,-0.14820126,-63.26147,0.15399468,-59.570385,-0.35341316,-61.919243,0.6614025,-57.221527
0.00240024,-0.1545231,-63.162754,0.14802277,-59.543472,-0.35939074,-61.8828,0.6554363,-57.204144
0.00250025,-0.16083509,-63.06436,0.14207566,-59.516518,-0.36537164,-61.845833,0.64952296,-57.187202
0.00260026,-0.16713724,-62.966293,0.13613236,-59.489403,-0.37133187,-61.80953,0.6435966,-57.169277
0.00270027,-0.17342961,-62.868553,0.13020527,-59.462185,-0.37728155,-61.77327,0.6376921,-57.1511
0.00280028,-0.17971222,-62.771137,0.12423813,-59.43513,-0.38323736,-61.735867,0.6317136,-57.134396
0.00290029,-0.1859851,-62.674038,0.11831486,-59.4077,-0.38921326,-61.699875,0.625843,-57.115524
0.0030003001,-0.1922483,-62.57726,0.11235058,-59.380455,-0.39517754,-61.662758,0.6198787,-57.098152
0.00310031,-0.19850183,-62.480793,0.10644257,-59.3528,-0.40110248,-61.6265,0.6139876,-57.079098
0.00320032,-0.20474571,-62.384644,0.10048115,-59.325207,-0.40704882,-61.589977,0.6080111,-57.060436
0.0033003301,-0.21098001,-62.28881,0.09455311,-59.29769,-0.41301632,-61.55304,0.60212255,-57.042343
0.00340034,-0.21720473,-62.193283,0.08865368,-59.269714,-0.41892898,-61.516655,0.59623635,-57.022774
0.00350035,-0.22341992,-62.09807,0.08265221,-59.242363,-0.42491347,-61.479885,0.5902179,-57.00484
0.0036003601,-0.2296256,-62.00316,0.07676709,-59.214226,-0.43082494,-61.443798,0.5843591,-56.984653
0.00370037,-0.2358218,-61.908554,0.07088101,-59.186028,-0.43676734,-61.407894,0.57852936,-56.96416
