x,f,f_prime,mean,mean_prime,lower,lower_prime,upper,upper_prime
0.00010001,-4.457462,-9972.395,-7.3959217,-50131.02,-11.897647,-50135.227,-2.8941965,-50126.812
0.00020002,-5.454774,-5938.4785,-12.409437,-50129.49,-16.911156,-50133.715,-7.907719,-50125.26
0.00030003,-6.048671,-4243.886,-17.422848,-50127.535,-21.92455,-50131.785,-12.921146,-50123.285
0.00040004,-6.4730964,-3304.9407,-22.435863,-50124.57,-26.93755,-50128.863,-17.934177,-50120.277
0.00050005,-6.8036203,-2707.226,-27.44866,-50121.19,-31.950321,-50125.535,-22.946999,-50116.848
0.00060006,-7.0743675,-2293.0112,-32.46123,-50117.383,-36.962856,-50121.78,-27.959606,-50112.984
0.00070007,-7.30369,-1988.9208,-37.47312,-50112.566,-41.974712,-50117.035,-32.97153,-50108.098
0.00080008,-7.5026007,-1756.1384,-42.484673,-50107.332,-46.98622,-50111.88,-37.983124,-50102.785
0.00090009003,-7.6782312,-1572.187,-47.49571,-50101.473,-51.997208,-50106.105,-42.99421,-50096.84
0.0010001,-7.8354645,-1423.1445,-52.506157,-50094.996,-57.007603,-50099.723,-48.00471,-50090.27
0.00110011,-7.9777927,-1299.925,-57.51549,-50087.527,-62.016884,-50092.36,-53.0141,-50082.695
0.00120012,-8.107798,-1196.3455,-62.52455,-50079.81,-67.02588,-50084.75,-58.023228,-50074.867
0.00130013,-8.227444,-1108.0518,-67.532585,-50071.293,-72.03384,-50076.35,-63.03133,-50066.234
0.00140014,-8.33826,-1031.8889,-72.53948,-50061.965,-77.040665,-50067.152,-68.0383,-50056.777
0.0015001501,-8.441459,-965.5143,-77.546036,-50052.406,-82.047134,-50057.72,-73.04494,-50047.094
0.00160016,-8.538019,-907.1524,-82.551346,-50042.03,-87.05235,-50047.477,-78.05034,-50036.586
0.00170017,-8.628743,-855.4328,-87.55492,-50030.664,-92.05584,-50036.254,-83.05399,-50025.074
0.0018001801,-8.714294,-809.2807,-92.55808,-50019.066,-97.05891,-50024.8,-88.05726,-50013.332
0.00190019,-8.795231,-767.8414,-97.56011,-50006.844,-102.06083,-50012.727,-93.059395,-50000.96
0.0020002,-8.872023,-730.4267,-102.56093,-49994.016,-107.06154,-50000.05,-98.06032,-49987.98
0.00210021,-8.945072,-696.47614,-107.55963,-49980.17,-112.060135,-49986.367,-103.05913,-49973.977
0.00220022,-9.014727,-665.5289,-112.55784,-49966.11,-117.05821,-49972.46,-108.057465,-49959.758
0.00230023,-9.081286,-637.2022,-117.55424,-49951.234,-122.05449,-49957.75,-113.053986,-49944.72
0.00240024,-9.145013,-611.17596,-122.548645,-49935.56,-127.04877,-49942.242,-118.04852,-49928.875
0.00250025,-9.206136,-587.1799,-127.54203,-49919.46,-132.04202,-49926.312,-123.042046,-49912.61
0.00260026,-9.26486,-564.9847,-132.53436,-49902.92,-137.03421,-49909.94,-128.03452,-49895.902
0.00270027,-9.321363,-544.3942,-137.524,-49885.406,-142.0237,-49892.6,-133.0243,-49878.21
0.00280028,-9.375809,-525.2399,-142.51189,-49867.26,-147.01143,-49874.637,-138.01234,-49859.887
0.00290029,-9.428338,-507.37604,-147.49861,-49848.707,-151.998,-49856.258,-142.99922,-49841.156
0.0030003001,-9.47908,-490.67578,-152.48291,-49829.348,-156.98213,-49837.08,-147.98369,-49821.617
0.00310031,-9.528152,-475.02856,-157.46466,-49809.18,-161.96371,-49817.094,-152.9656,-49801.266
0.00320032,-9.575661,-460.33737,-162.44571,-49788.79,-166.94458,-49796.883,-157.94684,-49780.695
0.0033003301,-9.621698,-446.51672,-167.42413,-49767.59,-171.92284,-49775.867,-162.92543,-49759.312
0.00340034,-9.666354,-433.4911,-172.39978,-49745.586,-176.8983,-49754.05,-167.90126,-49737.12
0.00350035,-9.709708,-421.19336,-177.37396,-49723.17,-181.87228,-49731.824,-172.87564,-49714.52
0.0036003601,-9.751831,-409.5638,-182.34598,-49700.14,-186.8441,-49708.98,-177.84785,-49691.3
0.00370037,-9.792792,-398.54913,-187.31427,-49676.125,-191.8122,-49685.156,-182.81635,-49667.094
0.00380038,-9.832651,-388.10144,-192.28168,-49651.875,-196.7794,-49661.098,-187.78395,-49642.652
0.0039003901,-9.871465,-378.1778,-197.24678,-49627.016,-201.7443,-49636.426,-192.74927,-49617.605
0.0040004,-9.9092865,-368.7394,-202.20706,-49600.977,-206.70436,-49610.582,-197.70976,-49591.37
0.0041004103,-9.946164,-359.7513,-207.16718,-49574.906,-211.66425,-49584.703,-202.6701,-49565.11
0.00420042,-9.982142,-351.18173,-212.12395,-49548.03,-216.62079,-49558.023,-207.6271,-49538.04
0.00430043,-10.017264,-343.00186,-217.07724,-49520.36,-221.57385,-49530.547,-212.58063,-49510.17
0.00440044,-10.051568,-335.1855,-222.02866,-49492.28,-226.52502,-49502.66,-217.53229,-49481.902
0.00450045,-10.08509,-327.7087,-226.97739,-49463.59,-231.47351,-49474.164,-222.48126,-49453.016
0.00460046,-10.117864,-320.54962,-231.92151,-49433.914,-236.41739,-49444.688,-227.42563,-49423.14
0.0047004703,-10.149921,-313.68823,-236.86456,-49404.02,-241.36018,-49414.99,-232.36894,-49393.05
0.00480048,-10.1812935,-307.10614,-241.80466,-49373.51,-246.30002,-49384.676,-237.3093,-49362.348
0.00490049,-10.2120075,-300.78644,-246.74187,-49342.402,-251.23697,-49353.76,-242.24677,-49331.043
0.0050005,-10.242089,-294.7136,-251.67313,-49310.125,-256.16797,-49321.688,-247.17828,-49298.562
0.00510051,-10.271564,-288.87326,-256.60416,-49277.82,-261.09872,-49289.58,-252.1096,-49266.062
0.00520052,-10.300453,-283.25217,-261.53107,-49244.71,-266.02533,-49256.668,-257.0368,-49232.754
0.00530053,-10.328781,-277.83804,-266.45264,-49210.633,-270.94662,-49222.79,-261.95865,-49198.477
0.00540054,-10.356568,-272.61954,-271.373,-49176.33,-275.8667,-49188.684,-266.87927,-49163.973
0.00550055,-10.383833,-267.58606,-276.29,-49141.43,-280.78342,-49153.984,-271.7966,-49128.875
0.00560056,-10.410594,-262.72787,-281.20367,-49105.93,-285.69678,-49118.684,-276.71057,-49093.176
0.00570057,-10.43687,-258.0358,-286.1116,-49069.45,-290.6044,-49082.402,-281.6188,-49056.496
0.00580058,-10.462675,-253.50133,-291.0172,-49032.566,-295.5097,-49045.72,-286.52472,-49019.414
0.00590059,-10.488029,-249.11658,-295.92026,-48995.273,-300.41245,-49008.625,-291.42807,-48981.92
0.0060006003,-10.512942,-244.87413,-300.8174,-48957.008,-305.30927,-48970.562,-296.32556,-48943.453
0.00610061,-10.537432,-240.76704,-305.71198,-48918.34,-310.20352,-48932.094,-301.22043,-48904.586
0.00620062,-10.561511,-236.78885,-310.60284,-48879.08,-315.09406,-48893.03,-306.11163,-48865.125
0.00630063,-10.585193,-232.93349,-315.4886,-48839.035,-319.97946,-48853.188,-310.9977,-48824.883
0.00640064,-10.608488,-229.19522,-320.37048,-48798.395,-324.86102,-48812.75,-315.87994,-48784.04
0.00650065,-10.63141,-225.56874,-325.2497,-48757.355,-329.73987,-48771.91,-320.75952,-48742.8
0.0066006603,-10.653969,-222.049,-330.12228,-48715.344,-334.61212,-48730.1,-325.63245,-48700.586
0.00670067,-10.676176,-218.63126,-334.99347,-48673.12,-339.48294,-48688.08,-330.504,-48658.164
0.00680068,-10.698042,-215.31108,-339.85916,-48630.125,-344.3483,-48645.28,-335.37003,-48614.97
0.00690069,-10.719575,-212.08426,-344.7207,-48586.53,-349.20947,-48601.89,-340.23193,-48571.17
0.0070007,-10.740786,-208.94684,-349.5767,-48542.176,-354.0651,-48557.734,-345.0883,-48526.617
0.00710071,-10.761682,-205.89508,-354.42972,-48497.42,-358.91772,-48513.18,-349.9417,-48481.664
0.0072007203,-10.782273,-202.92545,-359.27835,-48452.074,-363.766,-48468.035,-354.7907,-48436.113
0.00730073,-10.802568,-200.03459,-364.11978,-48405.77,-368.60706,-48421.93,-359.6325,-48389.61
0.00740074,-10.822574,-197.21936,-368.95963,-48359.258,-373.4465,-48375.62,-364.47275,-48342.895
0.00750075,-10.842298,-194.47676,-373.7949,-48312.156,-378.28137,-48328.72,-369.3084,-48295.594
0.00760076,-10.861747,-191.80396,-378.62265,-48264.113,-383.10873,-48280.875,-374.13657,-48247.35
0.00770077,-10.880929,-189.19824,-383.44724,-48215.664,-387.93292,-48232.625,-378.96155,-48198.703
0.0078007802,-10.899851,-186.65706,-388.26712,-48166.65,-392.75238,-48183.812,-383.78186,-48149.484
0.00790079,-10.918519,-184.17801,-393.0807,-48116.86,-397.56555,-48134.223,-388.59583,-48099.496
0.0080008,-10.936938,-181.75877,-397.89102,-48066.68,-402.37546,-48084.242,-393.4066,-48049.117
0.00810081,-10.955116,-179.39714,-402.69644,-48015.918,-407.18048,-48033.68,-398.2124,-47998.156
0.008200821,-10.973058,-177.09105,-407.49374,-47964.21,-411.97736,-47982.176,-403.01013,-47946.246
0.00830083,-10.990768,-174.8385,-412.2892,-47912.31,-416.7724,-47930.473,-407.80603,-47894.145
0.00840084,-11.008254,-172.63762,-417.07968,-47859.82,-421.56244,-47878.184,-412.59692,-47841.457
0.00850085,-11.025519,-170.48657,-421.8618,-47806.41,-426.3441,-47824.973,-417.3795,-47787.848
0.00860086,-11.04257,-168.38364,-426.64038,-47752.605,-431.12225,-47771.367,-422.1585,-47733.844
0.00870087,-11.05941,-166.32721,-431.4137,-47698.215,-435.8951,-47717.176,-426.93228,-47679.254
0.00880088,-11.076044,-164.31569,-436.18335,-47643.453,-440.6643,-47662.61,-431.7024,-47624.297
0.00890089,-11.092478,-162.34758,-440.94275,-47587.574,-445.42328,-47606.934,-436.46222,-47568.215
0.0090009,-11.108714,-160.42146,-445.70007,-47531.49,-450.18015,-47551.043,-441.22,-47511.934
0.00910091,-11.124758,-158.53595,-450.45197,-47474.832,-454.93155,-47494.586,-445.97238,-47455.08
0.00920092,-11.140613,-156.68976,-455.19492,-47417.258,-459.67404,-47437.21,-450.7158,-47397.305
0.00930093,-11.156283,-154.8816,-459.93576,-47359.48,-464.41443,-47379.63,-455.4571,-47339.332
0.0094009405,-11.171773,-153.1103,-464.67096,-47301.137,-469.14914,-47321.484,-460.19278,-47280.79
0.00950095,-11.187085,-151.3747,-469.39877,-47242.06,-473.87646,-47262.6,-464.92108,-47221.516
