x,f,mean,lower,upper
0.00010001,-0.006558076,-1.2488562,-3.4443898,0.9466773
0.00020002,-0.013105482,-1.2507921,-3.4459105,0.94432604
0.00030003,-0.019642254,-1.2527314,-3.447435,0.9419719
0.00040004,-0.026168434,-1.2546707,-3.448958,0.9396163
0.00050005,-0.032684054,-1.2566072,-3.45048,0.93726575
0.00060006,-0.039189156,-1.258547,-3.4520073,0.9349135
0.00070007,-0.045683775,-1.2604858,-3.4535322,0.9325608
0.00080008,-0.05216795,-1.2624241,-3.4550576,0.9302093
0.00090009003,-0.05864171,-1.2643648,-3.4565868,0.92785704
0.0010001,-0.0651051,-1.2663027,-3.4581122,0.92550695
0.00110011,-0.071558155,-1.2682418,-3.4596405,0.92315686
0.00120012,-0.0780009,-1.2701839,-3.4611716,0.9208039
0.00130013,-0.084433384,-1.272123,-3.4627,0.91845405
0.00140014,-0.09085564,-1.2740628,-3.4642296,0.9161042
0.0015001501,-0.097267695,-1.2760059,-3.465765,0.9137534
0.00160016,-0.10366959,-1.2779444,-3.4672956,0.91140664
0.00170017,-0.11006136,-1.2798859,-3.4688272,0.9090556
0.0018001801,-0.116443045,-1.281829,-3.4703636,0.90670574
0.00190019,-0.12281467,-1.2837683,-3.4718952,0.90435874
0.0020002,-0.12917626,-1.2857105,-3.4734306,0.90200984
0.00210021,-0.13552788,-1.287654,-3.4749703,0.8996624
0.00220022,-0.14186953,-1.2895952,-3.4765043,0.89731395
0.00230023,-0.14820126,-1.2915367,-3.4780407,0.8949672
0.00240024,-0.1545231,-1.293481,-3.4795823,0.8926202
0.00250025,-0.16083509,-1.2954232,-3.4811192,0.890273
0.00260026,-0.16713724,-1.2973658,-3.4826589,0.8879274
0.00270027,-0.17342961,-1.2993096,-3.484201,0.88558185
0.00280028,-0.17971222,-1.3012525,-3.4857407,0.8832356
0.00290029,-0.1859851,-1.3031975,-3.4872856,0.8808905
0.0030003001,-0.1922483,-1.3051401,-3.4888268,0.87854636
0.00310031,-0.19850183,-1.3070842,-3.4903698,0.8762015
0.00320032,-0.20474571,-1.3090299,-3.4919167,0.87385666
0.0033003301,-0.21098001,-1.3109733,-3.4934607,0.87151396
0.00340034,-0.21720473,-1.3129176,-3.4950051,0.86917007
0.00350035,-0.22341992,-1.3148638,-3.4965549,0.86682737
0.0036003601,-0.2296256,-1.3168079,-3.4980989,0.86448324
0.00370037,-0.2358218,-1.3187534,-3.4996452,0.8621386
0.00380038,-0.24200855,-1.3207003,-3.5011964,0.8597959
0.0039003901,-0.2481859,-1.3226448,-3.5027447,0.8574549
0.0040004,-0.25435385,-1.3245894,-3.504294,0.8551153
0.0041004103,-0.26051244,-1.3265382,-3.5058475,0.8527709
0.00420042,-0.26666173,-1.3284832,-3.5073962,0.8504299
0.00430043,-0.2728017,-1.3304282,-3.5089478,0.84809124
0.00440044,-0.2789324,-1.3323766,-3.5105033,0.8457502
0.00450045,-0.28505388,-1.3343226,-3.5120573,0.84341204
0.00460046,-0.29116613,-1.3362688,-3.5136085,0.841071
0.0047004703,-0.29726923,-1.3382169,-3.5151658,0.8387321
0.00480048,-0.30336314,-1.3401643,-3.5167217,0.836393
0.00490049,-0.30944794,-1.3421122,-3.5182767,0.83405244
