x,f,f_prime,mean,mean_prime,lower,lower_prime,upper,upper_prime
0.00010001,-0.006558076,-65.52079,0.22578716,-56.107327,-1.5923816,-60.570232,2.0439558,-51.64442
0.00020002,-0.013105482,-65.41429,0.22017455,-56.10246,-1.5979832,-60.557056,2.0383325,-51.64786
0.00030003,-0.019642254,-65.30817,0.21456504,-56.09744,-1.6035864,-60.544014,2.0327165,-51.650864
0.00040004,-0.026168434,-65.202415,0.20895505,-56.092358,-1.6091886,-60.530952,2.0270987,-51.653763
0.00050005,-0.032684054,-65.097046,0.20334554,-56.087257,-1.6147897,-60.517776,2.0214808,-51.65674
0.00060006,-0.039189156,-64.99204,0.19773579,-56.082058,-1.6203879,-60.50463,2.0158596,-51.659485
0.00070007,-0.045683775,-64.887405,0.19212794,-56.076736,-1.6259905,-60.491634,2.0102463,-51.66184
0.00080008,-0.05216795,-64.783134,0.18651938,-56.071407,-1.6315886,-60.47843,2.0046272,-51.664383
0.00090009003,-0.05864171,-64.67923,0.18091202,-56.065968,-1.6371922,-60.465336,1.9990163,-51.6666
0.0010001,-0.0651051,-64.57569,0.17530537,-56.060444,-1.6427895,-60.45228,1.9934002,-51.66861
0.00110011,-0.071558155,-64.4725,0.16969967,-56.054836,-1.6483873,-60.43918,1.9877867,-51.670494
0.00120012,-0.0780009,-64.369675,0.16409326,-56.049213,-1.6539848,-60.426014,1.9821713,-51.672413
0.00130013,-0.084433384,-64.267204,0.15848827,-56.04346,-1.6595808,-60.412903,1.9765574,-51.67402
0.00140014,-0.09085564,-64.165085,0.15288424,-56.03764,-1.665176,-60.3998,1.9709445,-51.67548
0.0015001501,-0.097267695,-64.06331,0.14727902,-56.031788,-1.6707717,-60.38663,1.9653298,-51.676945
0.00160016,-0.10366959,-63.961887,0.14167571,-56.025837,-1.6763703,-60.37354,1.9597217,-51.678135
0.00170017,-0.11006136,-63.86081,0.13607407,-56.019756,-1.6819605,-60.360462,1.9541086,-51.67905
0.0018001801,-0.116443045,-63.760075,0.13047004,-56.013706,-1.6875566,-60.347244,1.9484967,-51.68017
0.00190019,-0.12281467,-63.65968,0.124869585,-56.007504,-1.6931514,-60.334167,1.9428905,-51.68084
0.0020002,-0.12917626,-63.559624,0.11926794,-56.001244,-1.6987414,-60.321053,1.9372773,-51.681435
0.00210021,-0.13552788,-63.459908,0.1136682,-55.994884,-1.7043332,-60.30798,1.9316696,-51.68179
0.00220022,-0.14186953,-63.360523,0.10806751,-55.98854,-1.7099214,-60.29471,1.9260564,-51.682373
0.00230023,-0.14820126,-63.26147,0.10246873,-55.982033,-1.7155123,-60.281628,1.9204497,-51.682438
0.00240024,-0.1545231,-63.162754,0.0968709,-55.97547,-1.721107,-60.26858,1.9148488,-51.68236
0.00250025,-0.16083509,-63.06436,0.09127188,-55.968872,-1.726695,-60.25537,1.9092387,-51.682373
0.00260026,-0.16713724,-62.966293,0.08567572,-55.96215,-1.7322832,-60.242268,1.9036347,-51.682034
0.00270027,-0.17342961,-62.868553,0.08008003,-55.955345,-1.7378705,-60.22919,1.8980305,-51.6815
0.00280028,-0.17971222,-62.771137,0.074483395,-55.948536,-1.7434566,-60.215965,1.8924234,-51.681107
0.00290029,-0.1859851,-62.674038,0.068888664,-55.94158,-1.749042,-60.202896,1.8868194,-51.680267
0.0030003001,-0.1922483,-62.57726,0.06329417,-55.934578,-1.754626,-60.189808,1.8812144,-51.679348
0.00310031,-0.19850183,-62.480793,0.05770135,-55.92748,-1.7602093,-60.176704,1.875612,-51.678253
0.00320032,-0.20474571,-62.384644,0.052106857,-55.920387,-1.7657986,-60.163483,1.8700123,-51.67729
0.0033003301,-0.21098001,-62.28881,0.04651475,-55.913155,-1.7713797,-60.1504,1.8644092,-51.67591
0.00340034,-0.21720473,-62.193283,0.040923357,-55.905846,-1.7769606,-60.137287,1.8588073,-51.674404
0.00350035,-0.22341992,-62.09807,0.03533292,-55.89849,-1.7825432,-60.124107,1.853209,-51.672874
0.0036003601,-0.2296256,-62.00316,0.029742718,-55.89104,-1.7881234,-60.111008,1.8476088,-51.671074
0.00370037,-0.2358218,-61.908554,0.024153948,-55.883503,-1.7937012,-60.097897,1.8420091,-51.66911
0.00380038,-0.24200855,-61.81425,0.018564701,-55.875946,-1.7992804,-60.084732,1.8364098,-51.66716
0.0039003901,-0.2481859,-61.720253,0.012976885,-55.868263,-1.8048573,-60.07163,1.830811,-51.664898
0.0040004,-0.25435385,-61.626553,0.007390976,-55.86051,-1.810441,-60.058586,1.825223,-51.662437
0.0041004103,-0.26051244,-61.53315,0.0018043518,-55.852684,-1.8160162,-60.045494,1.8196249,-51.659874
0.00420042,-0.26666173,-61.440044,-0.0037813187,-55.84482,-1.8215923,-60.032295,1.8140297,-51.65734
0.00430043,-0.2728017,-61.347233,-0.009365797,-55.836864,-1.8271657,-60.019173,1.8084341,-51.654556
0.00440044,-0.2789324,-61.25471,-0.014948845,-55.828804,-1.8327389,-60.006134,1.8028412,-51.651474
0.00450045,-0.28505388,-61.162483,-0.020531654,-55.820656,-1.8383123,-59.993057,1.797249,-51.648254
0.00460046,-0.29116613,-61.070545,-0.02611494,-55.812508,-1.8438829,-59.979897,1.791653,-51.64512
0.0047004703,-0.29726923,-60.978893,-0.031696796,-55.804264,-1.8494574,-59.96679,1.7860638,-51.64174
0.00480048,-0.30336314,-60.887527,-0.037276745,-55.79591,-1.8550285,-59.953716,1.780475,-51.638103
0.00490049,-0.30944794,-60.796444,-0.04285717,-55.78754,-1.860598,-59.94052,1.7748836,-51.63456
0.0050005,-0.31552365,-60.705647,-0.04843521,-55.779037,-1.8661665,-59.92746,1.769296,-51.630615
0.00510051,-0.3215903,-60.615128,-0.054013252,-55.770477,-1.8717331,-59.914394,1.7637066,-51.62656
0.00520052,-0.3276479,-60.524887,-0.059591293,-55.761887,-1.8773,-59.901184,1.7581174,-51.62259
0.00530053,-0.33369648,-60.434925,-0.06516671,-55.753166,-1.8828654,-59.88812,1.752532,-51.618214
0.00540054,-0.3397361,-60.345238,-0.07074189,-55.744373,-1.8884292,-59.875065,1.7469454,-51.61368
0.00550055,-0.34576675,-60.25583,-0.07631636,-55.735527,-1.8939983,-59.86203,1.7413656,-51.609024
0.00560056,-0.3517885,-60.166687,-0.08189106,-55.726643,-1.8995605,-59.84881,1.7357783,-51.604477
0.00570057,-0.35780132,-60.07782,-0.08746433,-55.717644,-1.9051206,-59.835743,1.730192,-51.599545
0.00580058,-0.36380526,-59.989223,-0.09303427,-55.70854,-1.9106832,-59.82275,1.7246146,-51.594334
0.00590059,-0.36980036,-59.900894,-0.0986073,-55.69945,-1.916241,-59.809555,1.7190264,-51.589348
0.0060006003,-0.37578663,-59.812828,-0.104177,-55.690228,-1.9217991,-59.79646,1.7134451,-51.583996
0.00610061,-0.38176414,-59.725033,-0.109745026,-55.68092,-1.9273657,-59.78347,1.7078756,-51.57837
0.00620062,-0.38773286,-59.637497,-0.11531448,-55.671597,-1.9329146,-59.77024,1.7022856,-51.572952
0.00630063,-0.39369282,-59.550224,-0.120880604,-55.662136,-1.9384776,-59.757236,1.6967164,-51.567036
0.00640064,-0.3996441,-59.46321,-0.12644768,-55.652634,-1.9440305,-59.744164,1.6911352,-51.561104
0.00650065,-0.4055867,-59.376457,-0.13201213,-55.643024,-1.9495854,-59.73114,1.6855612,-51.55491
0.0066006603,-0.4115206,-59.289963,-0.13757777,-55.63342,-1.955136,-59.717907,1.6799804,-51.54893
0.00670067,-0.41744587,-59.203724,-0.14314008,-55.62367,-1.9606893,-59.704914,1.6744092,-51.542423
0.00680068,-0.42336252,-59.11774,-0.1487019,-55.61384,-1.9662417,-59.691895,1.6688379,-51.53578
0.00690069,-0.4292706,-59.03201,-0.1542654,-55.60404,-1.9717937,-59.678673,1.6632628,-51.529404
0.0070007,-0.4351701,-58.946533,-0.15982533,-55.59407,-1.9773431,-59.66565,1.6576924,-51.52249
0.00710071,-0.4410611,-58.861305,-0.16538358,-55.58403,-1.9828908,-59.65262,1.6521237,-51.51544
0.0072007203,-0.44694355,-58.776325,-0.17094398,-55.573986,-1.988436,-59.639458,1.646548,-51.508514
0.00730073,-0.45281756,-58.691593,-0.17650032,-55.5638,-1.9939824,-59.626434,1.6409818,-51.501167
0.00740074,-0.45868307,-58.60711,-0.18205595,-55.55353,-1.999527,-59.613396,1.6354151,-51.493668
0.00750075,-0.46454015,-58.522873,-0.18761134,-55.543217,-2.0050714,-59.600365,1.6298487,-51.48607
0.00760076,-0.47038883,-58.438877,-0.19316626,-55.532867,-2.0106137,-59.587177,1.6242812,-51.478558
0.00770077,-0.4762291,-58.35512,-0.19871998,-55.522396,-2.0161533,-59.57413,1.6187133,-51.47066
0.0078007802,-0.48206103,-58.27161,-0.20427155,-55.511864,-2.021698,-59.56111,1.6131549,-51.462616
0.00790079,-0.48788458,-58.18834,-0.20982409,-55.50131,-2.0272357,-59.547913,1.6075876,-51.454704
0.0080008,-0.49369985,-58.105305,-0.21537304,-55.490597,-2.0327768,-59.534935,1.6020309,-51.44626
0.00810081,-0.49950683,-58.02251,-0.22092152,-55.479843,-2.038313,-59.521873,1.5964698,-51.437813
0.008200821,-0.5053055,-57.93995,-0.2264688,-55.46901,-2.043847,-59.508804,1.5909094,-51.429214
0.00830083,-0.511096,-57.857624,-0.232018,-55.458176,-2.0493798,-59.495605,1.585344,-51.420746
0.00840084,-0.51687825,-57.77553,-0.23756218,-55.447163,-2.0549157,-59.48262,1.5797913,-51.411705
0.00850085,-0.52265227,-57.693672,-0.24310732,-55.436123,-2.0604458,-59.469574,1.574231,-51.40267
0.00860086,-0.5284181,-57.612045,-0.24865127,-55.425056,-2.0659838,-59.456398,1.5686812,-51.393715
0.00870087,-0.5341758,-57.530643,-0.25419378,-55.413864,-2.0715122,-59.443344,1.5631245,-51.384384
0.00880088,-0.5399254,-57.449474,-0.25973463,-55.40259,-2.0770414,-59.43033,1.5575721,-51.374855
0.00890089,-0.5456669,-57.36853,-0.26527643,-55.391323,-2.0825665,-59.417095,1.5520136,-51.36555
0.0090009,-0.55140024,-57.287815,-0.27081537,-55.3799,-2.0880942,-59.40409,1.5464636,-51.355713
0.00910091,-0.55712557,-57.20732,-0.27635193,-55.368404,-2.0936193,-59.391068,1.5409155,-51.34574
0.00920092,-0.5628429,-57.127052,-0.28188944,-55.35688,-2.0991468,-59.37796,1.535368,-51.3358
0.00930093,-0.56855214,-57.04701,-0.28742552,-55.345284,-2.1046648,-59.36476,1.5298136,-51.325806
0.0094009405,-0.57425344,-56.967182,-0.2929592,-55.33358,-2.1101913,-59.35175,1.524273,-51.31541
0.00950095,-0.57994676,-56.88758,-0.29849195,-55.3218,-2.1157117,-59.338696,1.5187278,-51.304905
0.00960096,-0.5856321,-56.808193,-0.30402565,-55.31001,-2.1212306,-59.325504,1.5131793,-51.294514
0.00970097,-0.5913095,-56.729027,-0.30955553,-55.298088,-2.126748,-59.312435,1.5076369,-51.28374
0.00980098,-0.596979,-56.650078,-0.31508493,-55.28609,-2.1322641,-59.299374,1.5020944,-51.272808
0.00990099,-0.6026407,-56.571342,-0.3206148,-55.274082,-2.1377792,-59.286156,1.4965497,-51.26201
0.010001,-0.6082944,-56.49282,-0.32614136,-55.261955,-2.1432981,-59.27308,1.4910153,-51.25083
0.01010101,-0.61394036,-56.414516,-0.3316679,-55.24977,-2.1488094,-59.260006,1.4854736,-51.239536
0.01020102,-0.6195785,-56.336422,-0.33719206,-55.237495,-2.154321,-59.24692,1.4799368,-51.22807
0.01030103,-0.6252088,-56.258537,-0.34271812,-55.22521,-2.1598296,-59.233677,1.4743935,-51.21674
0.01040104,-0.6308313,-56.180866,-0.3482387,-55.21276,-2.1653404,-59.220634,1.4688629,-51.204887
0.01050105,-0.6364461,-56.1034,-0.3537593,-55.20027,-2.1708474,-59.207504,1.4633287,-51.19304
0.01060106,-0.6420531,-56.026146,-0.3592813,-55.187775,-2.1763525,-59.194256,1.4577898,-51.181293
0.010701071,-0.64765245,-55.949097,-0.3647983,-55.175117,-2.1818595,-59.181202,1.4522629,-51.169033
0.01080108,-0.6532441,-55.872253,-0.37031507,-55.16243,-2.1873662,-59.168056,1.4467361,-51.156803
0.01090109,-0.658828,-55.795616,-0.37583303,-55.1497,-2.1928701,-59.154854,1.4412041,-51.144547
0.0110011,-0.66440433,-55.71918,-0.38134742,-55.136864,-2.1983693,-59.14169,1.4356744,-51.13204
0.01110111,-0.66997296,-55.642952,-0.38686013,-55.123924,-2.2038693,-59.128582,1.4301491,-51.119267
0.01120112,-0.675534,-55.56692,-0.39237237,-55.110947,-2.2093658,-59.115406,1.4246211,-51.106487
0.01130113,-0.6810875,-55.491093,-0.3978839,-55.09792,-2.2148643,-59.102135,1.4190965,-51.093704
0.01140114,-0.68663335,-55.415466,-0.40339327,-55.08478,-2.2203605,-59.088997,1.413574,-51.080566
0.01150115,-0.6921717,-55.340034,-0.40890217,-55.071606,-2.2258568,-59.07582,1.4080524,-51.06739
0.01160116,-0.69770247,-55.264805,-0.4144082,-55.05832,-2.2313504,-59.06267,1.4025339,-51.053967
0.01170117,-0.7032258,-55.18977,-0.41991544,-55.045025,-2.2368417,-59.049385,1.3970108,-51.040665
0.01180118,-0.70874155,-55.11493,-0.42541885,-55.0316,-2.2423315,-59.03622,1.3914938,-51.02698
0.0119011905,-0.71424985,-55.040283,-0.43092299,-55.01816,-2.2478209,-59.02288,1.3859749,-51.013443
0.012001201,-0.7197507,-54.965836,-0.43642378,-55.004593,-2.2533076,-59.009693,1.38046,-50.999493
0.01210121,-0.72524416,-54.891575,-0.44192457,-54.990982,-2.258791,-58.996418,1.374942,-50.985546
0.01220122,-0.7307301,-54.817513,-0.44742227,-54.977264,-2.2642777,-58.983273,1.3694332,-50.971256
0.01230123,-0.73620874,-54.743637,-0.45292115,-54.96355,-2.2697656,-58.969948,1.3639233,-50.957153
0.01240124,-0.74167997,-54.669952,-0.4584167,-54.94971,-2.2752464,-58.95669,1.358413,-50.94273
0.01250125,-0.7471438,-54.59646,-0.46391153,-54.935795,-2.2807255,-58.943417,1.3529024,-50.928173
0.01260126,-0.7526004,-54.52315,-0.46940398,-54.921806,-2.2862043,-58.93013,1.3473964,-50.913483
0.01270127,-0.75804955,-54.45003,-0.47489834,-54.907814,-2.2916799,-58.916706,1.3418831,-50.898922
0.01280128,-0.76349145,-54.377098,-0.48038697,-54.89366,-2.2971563,-58.903507,1.3363824,-50.883816
0.01290129,-0.7689261,-54.30435,-0.4858768,-54.879486,-2.3026295,-58.890213,1.3308758,-50.86876
0.0130013,-0.77435344,-54.23179,-0.49136615,-54.86527,-2.3081014,-58.876728,1.3253691,-50.85381
0.0131013105,-0.77977353,-54.15941,-0.49685097,-54.85093,-2.3135777,-58.863483,1.3198758,-50.838375
0.013201321,-0.7851864,-54.087215,-0.5023365,-54.836536,-2.3190475,-58.85011,1.3143746,-50.822964
0.01330133,-0.7905921,-54.0152,-0.50782037,-54.822086,-2.3245173,-58.836655,1.3088765,-50.807518
0.01340134,-0.7959905,-53.943367,-0.51330185,-54.807552,-2.3299818,-58.82327,1.3033782,-50.791836
0.01350135,-0.8013818,-53.871716,-0.5187824,-54.79292,-2.3354487,-58.809944,1.2978841,-50.775894
0.01360136,-0.8067659,-53.800243,-0.52426004,-54.778214,-2.3409133,-58.796597,1.2923933,-50.75983
0.01370137,-0.81214297,-53.728947,-0.52973986,-54.76354,-2.3463717,-58.782997,1.2868919,-50.74408
0.01380138,-0.8175128,-53.65783,-0.5352149,-54.748676,-2.3518343,-58.76962,1.2814044,-50.727734
0.01390139,-0.82287556,-53.58689,-0.54068875,-54.733788,-2.3573003,-58.75625,1.2759227,-50.711327
0.0140014,-0.8282313,-53.51613,-0.54616356,-54.718872,-2.3627577,-58.742702,1.2704304,-50.69504
0.01410141,-0.8335799,-53.445538,-0.55163527,-54.703842,-2.3682098,-58.729176,1.2649393,-50.67851
0.01420142,-0.8389214,-53.375122,-0.55710435,-54.688732,-2.3736649,-58.715725,1.259456,-50.66174
0.01430143,-0.844256,-53.304882,-0.56257534,-54.673603,-2.3791184,-58.702118,1.2539678,-50.64509
0.0144014405,-0.8495835,-53.234814,-0.5680418,-54.65836,-2.3845692,-58.688618,1.2484854,-50.6281
0.014501451,-0.854904,-53.16492,-0.57350683,-54.64303,-2.3900185,-58.675102,1.2430047,-50.610954
0.01460146,-0.8602176,-53.095196,-0.5789702,-54.627655,-2.395471,-58.661568,1.2375308,-50.593742
0.01470147,-0.8655241,-53.02564,-0.5844343,-54.612247,-2.4009185,-58.647884,1.23205,-50.57661
0.01480148,-0.87082374,-52.956257,-0.5898938,-54.5967,-2.4063654,-58.63439,1.2265779,-50.559006
0.01490149,-0.87611645,-52.88704,-0.5953524,-54.5811,-2.4118085,-58.620804,1.2211035,-50.541397
0.0150015,-0.8814022,-52.817993,-0.60081244,-54.56549,-2.4172478,-58.607044,1.215623,-50.523937
0.01510151,-0.8866811,-52.74911,-0.60626817,-54.549755,-2.4226885,-58.593403,1.210152,-50.506107
0.01520152,-0.8919531,-52.680397,-0.61172104,-54.533928,-2.4281292,-58.579815,1.2046871,-50.48804
0.01530153,-0.8972182,-52.611847,-0.617177,-54.518116,-2.4335642,-58.56601,1.1992102,-50.470222
0.01540154,-0.90247655,-52.543465,-0.6226268,-54.502163,-2.439005,-58.5524,1.1937515,-50.451927
0.01550155,-0.907728,-52.475243,-0.62807655,-54.486153,-2.4444385,-58.538643,1.1882855,-50.433662
0.0156015605,-0.9129726,-52.40719,-0.63352394,-54.47006,-2.4498723,-58.524994,1.1828244,-50.415123
0.01570157,-0.9182105,-52.339294,-0.6389723,-54.453968,-2.4553,-58.51107,1.1773555,-50.396866
0.01580158,-0.9234415,-52.27156,-0.6444173,-54.43774,-2.4607298,-58.497345,1.1718953,-50.378136
0.01590159,-0.9286658,-52.20399,-0.6498604,-54.42146,-2.4661546,-58.483517,1.1664338,-50.3594
0.0160016,-0.93388337,-52.13658,-0.6553035,-54.40516,-2.4715867,-58.46962,1.1609797,-50.3407
0.01610161,-0.9390942,-52.069332,-0.66074276,-54.388714,-2.477005,-58.455788,1.1555194,-50.32164
0.01620162,-0.9442983,-52.00224,-0.6661818,-54.372246,-2.4824297,-58.441936,1.1500661,-50.302555
0.01630163,-0.9494957,-51.935307,-0.67162013,-54.35572,-2.4878507,-58.42795,1.1446105,-50.28349
0.016401641,-0.9546864,-51.868534,-0.6770544,-54.339073,-2.49327,-58.414078,1.1391611,-50.26407
0.01650165,-0.95987046,-51.801914,-0.682487,-54.322365,-2.4986868,-58.400177,1.1337128,-50.244553
0.01660166,-0.96504784,-51.73545,-0.68791866,-54.30559,-2.5041018,-58.38624,1.1282643,-50.224945
0.01670167,-0.9702186,-51.669144,-0.69334984,-54.288795,-2.5095148,-58.372154,1.1228151,-50.205437
0.01680168,-0.9753827,-51.602993,-0.69877815,-54.271896,-2.5149326,-58.358185,1.1173763,-50.185608
0.01690169,-0.9805402,-51.536995,-0.70420456,-54.254913,-2.520341,-58.344173,1.1119317,-50.165653
0.0170017,-0.98569113,-51.47115,-0.7096312,-54.237923,-2.525749,-58.329994,1.1064866,-50.14585
0.01710171,-0.9908355,-51.40546,-0.7150552,-54.220814,-2.5311542,-58.31594,1.1010437,-50.125687
0.01720172,-0.9959733,-51.33992,-0.7204747,-54.203606,-2.5365624,-58.30192,1.0956131,-50.10529
